Time,Quote time,Quote,Title,Author,SFW,Star
00:00,media noche,"—A vos y de vos la pido —replicó don Quijote—, porque ni yo soy de mármol ni vos de bronce, ni ahora son las diez del día, sino media noche",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,media noche,"—Yo me reportaré —respondió Sancho—; pero ¿con qué paciencia podré llevar que quiera vuestra merced que de sola una vez que vi la casa de nuestra ama, la haya de saber siempre y hallarla a media noche, no hallándola vuestra merced, que la debe de haber visto millares de veces?",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,Media noche,"Media noche era por filo, poco más a menos, cuando don Quijote y Sancho dejaron el monte y entraron en el Toboso.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,doce,"—¿Y se aburre mucho usted?
—Regular. He organizado mi vida como la de un industrial. Todos los días me acuesto a las doce y me levanto a las nueve de la mañana.",Los siete locos,Roberto Arlt,TRUE,*
00:00,en el corazón de la noche,"Ella, tallada en el corazón de la noche
por la inquietud de mis ojos alucinados:
ella, grabada en los maderos del bosque
por los cuchillos de mis manos",El hondero entusiasta,Pablo Neruda,TRUE,*
02:00,dos horas pasadas de la noche,"»Apenas serían dos horas pasadas de la noche, cuando ya estábamos todos en la barca, en la cual se le quitó al padre de Zoraida la atadura de las manos y el paño de la boca",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,*
03:00,tres de la mañana,"Entretanto, serían las tres de la mañana, yo estaba sentado en una mesa del bar Tortoni, tomando café y fumando",Respiración artificial,Ricardo Piglia,TRUE,
03:04,pasadas tres horas de la noche,"quiso, digo, que estando ya engolfados y siendo ya casi pasadas tres horas de la noche, yendo con la vela tendida de alto baja",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
04:00,cuatro de la mañana,"Yo tendré cuidado de socorreros si os viéredes en trabajo, y en todo haréis como se espera de vuestro entendimiento. Deste lugar, a 16 de agosto, a las cuatro de la mañana.

Vuestro amigo,
El Duque.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
04:00,cuatro de la mañana,Belano dijo son las cuatro de la mañana. En ese momento supe con resignación que no iba a poder dormir.,Los detectives salvajes,Roberto Bolaño,TRUE,
