Time,Id,Quote time,Quote,Title,Author,SFW
00:00,0000-000,Mitternacht,"Während sie am Brunnen tranken, begannen die Kirchenuhren Mitternacht zu schlagen. Missis sagte froh: „Oh, Pongo, es ist morgen! Jetzt werden wir heute bei unseren Welpen sein!“",Die 101 Dalmatiner,Dodie Smith,sfw
00:00,0000-001,Mitternacht,"Um Mitternacht wurden die Eingänge weit geöffnet, und der herbeiströmende Pöbel besetzte die ihm zugewiesenen Quartiere, aus denen nichts Geringeres als ein Erdbeben oder eine Armee mit Speeren entkommen konnte verdrängte sie. Sie dösten die Nacht auf den Bänken und frühstückten dort; und dort waren sie am Ende der Übungen geduldig und sehhungrig wie am Anfang.",Ben-Hur,Lew Wallace,sfw
00:00,0000-002,Mitternacht,"„Ich dachte, du schläfst“, sagte er plötzlich.<br>„Schlaf ist für alte Leute und kleine Kinder, und ich kam heraus, um meine Freunde anzuschauen, die Sterne im Süden – die jetzt die Vorhänge der Mitternacht über dem Nil halten. Aber gestehe, du bist überrascht!“",Ben-Hur,Lew Wallace,sfw
00:00,0000-003,Mitternacht,"Ren sagte: „Wenn man an Halloween um Mitternacht auf den Fußballplatz geht und dreimal seinen Namen sagt, soll sein Geist erscheinen.“",Kupferfluss,William Kent Krueger,sfw
00:00,0000-004,Mitternacht,"Du, Willi, mein Freund, sagte Pfarrer Fritz leise, „du, der du mittags in der Mitternacht Dunkelheit sitzt, ist dieser Jesus Christus ein Horn des Heils, ein Licht in deiner Dunkelheit.“ ?“",Helles Tal der Liebe,Edna Hong,sfw
00:00,0000-005,Mitternacht,"Du nimmst eine schwarze Katze – nicht wahr? – die nicht einmal ein einziges weißes Haar hat (das weißt du), und du fesselst ihre vier Pfoten, und dann nimmst du sie um Mitternacht an einen Scheideweg und du schreist mit lauter Stimme:",Der Name der Rose,Umberto Eco,unknown
00:00,0000-006,Mitternacht,"Und ich war der Löwe, an den du dich nicht erinnerst, der das Boot schob, in dem du lagst, ein Kind dem Tode nahe, so dass es ans Ufer kam, wo ein Mann saß, wachsam um Mitternacht, um Dich zu empfangen.",Das Pferd und sein Junge,C.S. Lewis,unknown
00:00,0000-007,Mitternacht,"Wenn Jill mehr an Abenteuer gewöhnt wäre, hätte sie vielleicht an den Worten der Eule gezweifelt, aber das kam ihr nie in den Sinn; und bei der aufregenden Idee einer Mitternacht Flucht vergaß sie ihre Schläfrigkeit.",Der silberne Stuhl,C.S. Lewis,unknown
00:00,0000-008,Mitternacht,"„Und fast genau um Mitternacht wurde die Geduld des Grafen belohnt. Denn gemäß den Anweisungen, die er Richard geschrieben hatte, begann jedes Telefon im ersten Stock des Metropol zu klingeln.“",Ein Gentleman in Moskau,Amor Towles,unknown
00:00,0000-009,Mitternacht,"„Gewinnt Sibby, verdammt noch mal!“ sagte Herr Hubert. „Gewinnt Sibby! Worüber zum Teufel streiten wir sonst noch bis Mitternacht?“","Geh hinunter, Moses",William Faulkner,nsfw
