Time,Quote time,Quote,Title,Author,SFW
00:00,medianoche,"Mientras bebían en la fuente, los relojes de la iglesia empezaron a dar las campanadas medianoche. Missis dijo alegremente: “¡Oh, Pongo, es mañana! ¡Ahora estaremos con nuestros cachorros hoy!",Los 101 Dálmatas,Dodie Smith,sfw
00:00,medianoche,"A medianoche las entradas se abrieron de par en par, y la chusma, en tropel, ocupó los cuarteles que les habían sido asignados, desde donde nada menos que un terremoto o un ejército con lanzas podría haber salido. los desalojó. Dormitaron toda la noche en los bancos y allí desayunaron; y allí los encontró el final de los ejercicios, pacientes y ávidos de vista como al principio.",Ben Hur,Lew Wallace,sfw
00:00,medianoche,"“Pensé que dormías”, dijo luego.<br>“El sueño es para los viejos y los niños pequeños, y salí a mirar a mis amigas, las estrellas del sur, las que ahora sostienen las cortinas de medianoche sobre el Nilo. ¡Pero confiésate sorprendido!",Ben Hur,Lew Wallace,sfw
00:00,medianoche,"Ren dijo: ""Si vas al campo de fútbol a medianoche en Halloween y dices su nombre tres veces, se supone que aparecerá su fantasma"".",Río Cobre,William Kent Krueger,sfw
00:00,medianoche,"Tú, Willi, amigo mío, dijo suavemente el pastor Fritz, ""tú que te sientas en medianoche oscuridad al mediodía, ¿es este Jesucristo un cuerno de salvación, una luz en tu oscuridad? ?""",Brillante valle del amor,Edna Hong,sfw
00:00,medianoche,"Tomas un gato negro---¿no es así?---que no tiene ni un solo pelo blanco (lo sabes), y le atas las cuatro patas, y luego lo tomas en medianoche a un cruce de caminos y gritas en alta voz:",El nombre de la rosa,Umberto Eco,unknown
00:00,medianoche,"Y yo era el león que no recuerdas que empujó la barca en la que yacías, un niño al borde de la muerte, para que llegara a la orilla donde estaba sentado un hombre, despierto a medianoche, para recibirte.",El caballo y su muchacho,C.S. Lewis,unknown
00:00,medianoche,"Si Jill hubiera estado más acostumbrada a las aventuras, podría haber dudado de la palabra del Búho, pero esto nunca se le ocurrió; y en la excitante idea de una medianoche olvidó su somnolencia.",La silla plateada,C.S. Lewis,unknown
00:00,medianoche,"“Y casi exactamente a las medianoche, la paciencia del Conde fue recompensada. Porque, siguiendo las instrucciones que había escrito a Richard, todos los teléfonos del primer piso del Metropol empezaron a sonar.",Un caballero en Moscú,Amor Towles,unknown
00:00,medianoche,"""¡Gana Sibby, maldita sea!"" dijo el señor Hubert. “¡Gana Sibby! ¿Qué más estamos preparando hasta que medianoche discutamos?",Baja Moisés,William Faulkner,nsfw
00:00,Medianoche,"Medianoche, y había escarcha en los campos y parches de hielo negro en una carretera famosa por sus accidentes; había ramos de flores muertas atadas a postes de cercas y postes de telégrafo, y huecos rotos en los setos, como una especie de cosecha perdida.",El cuerpo miente,Jo Baker,unknown
00:00,medianoche,"La plaza St. Sulpice, tan tranquila y desierta, donde hacia medianoche llegaba todas las noches la mujer del paraguas roto y del velo loco. Todas las noches dormía allí en un banco bajo su paraguas roto, con las costillas colgando, su vestido volviéndose verde, sus dedos huesudos y el olor a descomposición rezumando de su cuerpo; y por la mañana me sentaba allí, dormía tranquilamente al sol y maldecía a las malditas palomas que recogían las migajas por todas partes.",Trópico de Cáncer,Henry Miller,nsfw
