Time,Quote time,Quote,Title,Author,SFW
00:00,minuit,"Pendant qu'ils buvaient à la fontaine, les horloges des églises se mirent à sonner minuit. Missis dit joyeusement : « Oh, Pongo, c'est demain ! Maintenant, nous serons avec nos chiots aujourd'hui ! »",Les 101 Dalmatiens,Dodie Smith,sfw
00:00,minuit,"A minuit, les entrées furent grandes ouvertes, et la populace, affluant, occupa les quartiers qui lui étaient assignés, dont rien moins qu'un tremblement de terre ou une armée de lances n'aurait pu les déloger. Ils dormaient toute la nuit sur les bancs et y déjeunaient ; et là, la fin des exercices les trouva patients et avides de vue comme au début.",Ben Hur,Lew Wallace,sfw
00:00,minuit,"« Je pensais que tu dormais », dit-il à l'instant.<br/>« Le sommeil est pour les personnes âgées et les petits enfants, et je suis sorti pour regarder mes amis, les étoiles du sud, ceux qui tiennent maintenant les rideaux de minuit pendant la nuit. Le Nil. Mais avouez-vous surpris !",Ben Hur,Lew Wallace,sfw
00:00,minuit,"Ren a déclaré : « Si vous allez sur le terrain de football à minuit le jour d'Halloween et prononcez son nom trois fois, son fantôme est censé apparaître.",Rivière Cuivre,William Kent Krueger,sfw
00:00,minuit,"Toi, Willi, mon ami, dit doucement le pasteur Fritz, ""toi qui es assis dans l'obscurité de minuit à midi, est-ce Jésus-Christ une corne de salut, une lumière dans tes ténèbres ?""",Vallée lumineuse de l'amour,Edna Hong,sfw
00:00,minuit,"Vous prenez un chat noir, n'est-ce pas ? qui n'a pas même un poil blanc (vous le savez), et vous lui attachez les quatre pattes, et puis vous l'emmenez à minuit à un carrefour et vous crie d'une voix forte :",Le nom de la rose,Umberto Eco,unknown
00:00,minuit,"Et j'étais le lion dont tu ne te souviens pas qui a poussé la barque dans laquelle tu gisais, un enfant proche de la mort, pour qu'elle vienne jusqu'au rivage où un homme était assis, éveillé à minuit, pour te recevoir.",Le cheval et son garçon,C.S. Lewis,unknown
00:00,minuit,"Si Jill avait été plus habituée aux aventures, elle aurait peut-être douté de la parole de la Chouette, mais cela ne lui est jamais venu à l’esprit ; et dans l'idée excitante d'une escapade à minuit, elle oublia sa somnolence.",La chaise d'argent,C.S. Lewis,unknown
00:00,minuit,"« Et presque exactement à minuit, la patience du comte fut récompensée. Car conformément aux instructions qu’il avait écrites à Richard, tous les téléphones du premier étage du Metropol se sont mis à sonner.",Un gentleman à Moscou,Amor Towles,unknown
00:00,minuit,"""Gagne Sibby, bon sang!"" » dit M. Hubert. « Gagne Sibby ! De quoi d'autre sommes-nous en train de discuter jusqu'à minuit ?",Descendez Moïse,William Faulkner,nsfw
00:00,Minuit,"Minuit, il y avait du givre dans les champs et des plaques de glace noire sur une route connue pour ses accidents – il y avait des bouquets de fleurs mortes attachées aux poteaux de clôture et aux poteaux télégraphiques, et des trous déchirés dans les haies, comme une sorte de récolte ratée.",Le corps ment,Jo Baker,unknown
00:00,minuit,"La place Saint-Sulpice, si calme et déserte, où vers minuit venait chaque soir la femme au parapluie cassé et au voile fou. Chaque nuit, elle dormait là, sur un banc, sous son parapluie déchiré, les côtes pendantes, sa robe devenant verte, ses doigts osseux et l'odeur de pourriture suintant de son corps ; et le matin, j'étais moi-même assis là, faisant une sieste tranquille au soleil, maudissant les foutus pigeons qui ramassaient les miettes partout.",tropique du Cancer,Henry Miller,nsfw
00:00,minuit,"La maison est vide, mais Eugène chante comme s'il avait pour auditoire toutes les têtes couronnées d'Europe. La porte du jardin est ouverte et l'odeur des feuilles mouillées s'infiltre et la pluie se mélange aux 𝘢𝘯𝘨𝘰𝘪𝘴𝘴𝘦 et 𝘵𝘳𝘪𝘴𝘵𝘦𝘴𝘴𝘦 d'Eugène. A minuit, après que les spectateurs ont saturé la salle de transpiration et d'haleines fétides, je retourne dormir sur un banc. La lumière de sortie, nageant dans un halo de fumée de tabac, éclaire faiblement le coin inférieur du rideau d'amiante ; Je ferme les yeux tous les soirs sur un œil artificiel...",tropique du Cancer,Henry Miller,unknown
00:00,minuit,"Trevor portait un costume d'Andy Warhol : perruque blonde au carré, lunettes noires épaisses, chemise moulante à rayures. Ma première impression de lui était qu'il était libre d'esprit, intelligent et drôle. Cela s’est avéré complètement inexact. Nous avons quitté la fête ensemble et avons marché pendant des heures, nous sommes mentis sur nos vies heureuses, avons mangé une pizza à minuit, avons pris le ferry de Staten Island et regardé le soleil se lever.",Mon année de repos et de détente,Ottessa Moshfegh,unknown
00:00,minuit,"J. Je suis venu me coucher à minuit, et pendant notre athlétisme, ma porte a été barrée. Horreur farfelue ! Dieu merci, J. l'avait verrouillé en entrant. La poignée de porte claqua et des coups insistants commencèrent. La peur peut aussi bien éclaircir l'esprit que l'obscurcir, et en me souvenant de mon 𝘋𝘰𝘯 𝘑𝘶𝘢𝘯, j'ai caché J. dans un nid de couvertures et de draps dans mon lit affaissé et j'ai laissé le rideau entrouvert pour montrer que je n'avais rien à cacher.",Atlas des nuages,David Mitchell,nsfw
00:00,minuit,"C'était une affaire d'animaux. Un truc de nature sauvage. Rien en elle n’appartenait à son ancien moi à ce moment-là. Surtout sa voix. Cela aurait pu être le cri aigu d'un faucon, le hurlement angoissant d'un loup, le cri rauque d'un renard roux à minuit. Cela aurait pu être n'importe lequel d'entre eux, mais pas le cri d'une écolière de seize ans.",L'île aux arbres disparus,Elif Shafak,unknown
00:00,* minuit,"Oliver Dubois a enfoncé une camionnette devant sa porte d'entrée par une nuit de juillet en sueur, à la fin d'une immense fête de quartier. Ce n'était pas son camion et la rue était fermée à la circulation, donc l'émergence du véhicule de l'obscurité et le lent grondement d'Oak Drive ont dispersé les voisins et les invités en groupes confus sur les pelouses éclairées aux chandelles.",Derrière le mensonge,Emilya Naymark,unknown
