Time,Quote time,Quote,Title,Author,SFW
00:00,mezzanotte,"Mentre bevevano alla fontana, gli orologi della chiesa cominciarono a suonare mezzanotte. La signorina disse con gioia: “Oh, Pongo, è domani! Ora saremo con i nostri cuccioli oggi!”",La carica dei 101,Dodie Smith,sfw
00:00,mezzanotte,"A mezzanotte gli ingressi furono spalancati, e la plebaglia, irrompendo, occupò i quartieri loro assegnati, da cui nientemeno che un terremoto o un esercito con la lancia avrebbe potuto li hanno sloggiati. Dormicchiarono tutta la notte sulle panchine e lì fecero colazione; e lì li trovò la fine degli esercizi, pazienti e affamati di vista come all’inizio.",Ben Hur,Lew Wallace,sfw
00:00,mezzanotte,"“Credevo che stessi dormendo”, disse poco dopo.<br>“Il sonno è per i vecchi e i bambini piccoli, e sono uscito per guardare i miei amici, le stelle del sud, quelli che ora tengono le tende di mezzanotte sul Nilo. Ma confessati sorpreso!”",Ben Hur,Lew Wallace,sfw
00:00,mezzanotte,"Ren ha detto: “Se vai al campo di calcio a mezzanotte ad Halloween e pronunci il suo nome tre volte, il suo fantasma dovrebbe apparire.”",Fiume di rame,William Kent Krueger,sfw
00:00,mezzanotte,"Tu, Willi, amico mio, disse sottovoce il pastore Fritz, “tu che siedi nelle mezzanotte tenebre a mezzogiorno, è questo Gesù Cristo un corno di salvezza, una luce nelle tue tenebre??”",La luminosa valle dell’amore,Edna Hong,sfw
00:00,mezzanotte,"Prendi un gatto nero —non è vero?— che non ha nemmeno un pelo bianco (lo sai), e gli leghi quattro zampe, e poi lo prendi a mezzanotte ad un bivio e gridi a gran voce:",Il nome della rosa,Umberto Eco,unknown
00:00,mezzanotte,"Ed ero il leone che non ricordi e che spinse la barca nella quale giacevi, bambino prossimo alla morte, affinché arrivasse alla riva dove sedeva un uomo, sveglio a mezzanotte, per riceverti.",Il cavallo e il suo ragazzo,C.S. Lewis,unknown
00:00,mezzanotte,"Se Jill fosse stata più abituata alle avventure, avrebbe potuto dubitare della parola del Gufo, ma questo non le venne mai in mente; e nell’emozionante idea di una mezzanotte dimenticò la sonnolenza.",La sedia d’argento,C.S. Lewis,unknown
00:00,mezzanotte,"“E quasi esattamente a mezzanotte, la pazienza del Conte fu premiata. Infatti, secondo le istruzioni che aveva scritto a Richard, tutti i telefoni del primo piano del Metropol cominciarono a squillare.”",Un gentiluomo a Mosca,Amor Towles,unknown
00:00,mezzanotte,"“Vince Sibby, dannazione!” Ha detto il signor Hubert. “Vince Sibby! Cos’altro stiamo preparando fino a mezzanotte per discutere?”",Scendi Mosè,William Faulkner,nsfw
00:00,Midnight,"Midnight, e c’era brina sui campi e chiazze di ghiaccio nero su una strada nota per i suoi incidenti; c’erano mazzi di fiori morti legati ai pali della recinzione e ai pali del telegrafo, e buchi strappati nelle siepi, come una specie di raccolto andato a male.",Il corpo mente,Jo Baker,unknown
00:00,mezzanotte,"La Place St. Sulpice, così tranquilla e deserta, dove verso mezzanotte veniva ogni notte la donna dall’ombrello rotto e dal velo pazzo. Ogni notte dormiva lì, su una panchina, sotto l’ombrello strappato, con le costole pendenti, il vestito che diventava verde, le dita ossute e l’odore di putrefazione che le trasudavano dal corpo; e la mattina stavo seduto lì anch’io, a fare un sonnellino tranquillo al sole, maledicendo i dannati piccioni che raccoglievano briciole ovunque.",Tropico del Cancro,Henry Miller,nsfw
00:00,mezzanotte,"La casa è vuota, ma Eugenio canta come se avesse per pubblico tutte le teste coronate d’Europa. La porta del giardino è aperta e l’odore delle foglie bagnate penetra e la pioggia si confonde con l’<em>angoisse</em> e la <em>tristesse</em> di Eugene. A mezzanotte, dopo che gli spettatori hanno saturato la sala di sudore e alito cattivo, torno a dormire su una panchina. La luce dell’uscita, immersa in un alone di fumo di tabacco, proietta una debole luce sull’angolo inferiore della cortina di amianto; Chiudo gli occhi ogni notte con un occhio artificiale…",Tropico del Cancro,Henry Miller,unknown
00:00,mezzanotte,"Trevor indossava un costume di Andy Warhol: parrucca bionda a caschetto, spessi occhiali neri, camicia attillata a righe. La mia prima impressione di lui è stata che fosse uno spirito libero, intelligente, divertente. Ciò si è rivelato del tutto inesatto. Lasciammo insieme la festa e camminammo in giro per ore, mentendoci a vicenda sulle nostre vite felici, mangiammo pizza a mezzanotte, prendemmo avanti e indietro il traghetto per Staten Island e guardammo il alba.",Il mio anno di riposo e relax,Ottessa Moshfegh,unknown
00:00,mezzanotte,"J. è venuto nel mio letto a mezzanotte, e durante la nostra atletica, la mia porta è stata sbarrata. Orrore farsesco! Grazie a Dio J. l’aveva chiusa a chiave mentre entrava. La maniglia tremò, iniziarono a bussare insistenti. La paura può schiarire la mente così come annebbiarla, e ricordando il mio <em>Don Giovanni</em>, nascosi J. in un nido di coperte e lenzuola nel mio letto cadente e lasciai la tenda semiaperta per mostrare che non avevo nulla nascondere.",Atlante delle nuvole,David Mitchell,nsfw
00:00,mezzanotte,"Era una cosa animale. Una cosa selvaggia. Niente di lei apparteneva a se stessa in quel momento. Soprattutto la sua voce. Potrebbe essere stato il grido acuto di un falco, l’ululato tormentoso di un lupo, il grido stridulo di una volpe rossa a mezzanotte. Potrebbe essere stato uno qualsiasi di loro, ma non l’urlo di una studentessa di sedici anni.",L’isola degli alberi scomparsi,Elif Shafak,unknown
00:00,mezzanotte,"Oliver Dubois ha sfondato la porta di casa con un camioncino in una mezzanotte sudata di luglio, alla fine di una grande festa di quartiere.<br>Non era il suo camion, e la strada era chiusa al traffico, quindi l’uscita del veicolo dall’oscurità e il lento rombo su Oak Drive dispersero vicini e ospiti in gruppi confusi sui prati illuminati dalle candele.",Dietro la bugia,Emilya Naymark,unknown
00:00,Mezzanotte,"Guardò il display digitale del suo orologio.<br>00:00:00<br>Mezzanotte, come le aveva detto l’orologio.<br>Aspettò il secondo successivo per arrivare, ma così non fu.",La Biblioteca di mezzanotte,Matt Haig,unknown
00:00,mezzanotte,"Addio, dolce compagno di giochi: prega per noi;<br>E buona fortuna ti conceda il tuo Demetrio!<br>Mantieni la parola, Lisandro: dobbiamo privare la nostra vista<br>Dal cibo degli amanti fino a domani profondo mezzanotte.",Sogno di una notte di mezza estate,William Shakespeare,unknown
