Time|Id|Quote time|Quote|Title|Author|SFW
00:00|0000-000|μεσάνυχτα|Ενώ έπιναν νερό στο σιντριβάνι, τα ρολόγια της εκκλησίας άρχισαν να χτυπούν μεσάνυχτα. Η κυρία είπε χαρούμενα: «Ω, Πόνγκο, είναι αύριο! Τώρα θα είμαστε με τα κουτάβια μας σήμερα!»|Τα 101 Δαλματίας|Ντόντι Σμιθ|sfw
00:00|0000-001|μεσάνυχτα|Τα μεσάνυχτα οι είσοδοι άνοιξαν διάπλατα και ο όχλος, εισβάλλοντας ορμητικά, κατέλαβε τα καταλύματα που τους είχαν ανατεθεί, από τα οποία τίποτα λιγότερο από έναν σεισμό ή έναν στρατό με δόρατα δεν θα μπορούσε να τους εκτοπίσει. Κοιμήθηκαν όλη τη νύχτα στα παγκάκια και πήραν πρωινό εκεί. Και εκεί το τέλος των ασκήσεων τους βρήκε, υπομονετικούς και λαχανιασμένους όπως στην αρχή.|Μπεν-Χουρ|Λιου Γουάλας|sfw
00:00|0000-002|μεσάνυχτα|«Νόμιζα ότι κοιμόσουν», είπε αμέσως.<br>«Ο ύπνος είναι για ηλικιωμένους και μικρά παιδιά, και βγήκα να κοιτάξω τους φίλους μου, τα αστέρια στο νότο—αυτά που τώρα κρατούν τις κουρτίνες του μεσονυχτίου πάνω από τον Νείλο. Αλλά ομολόγησε τον εαυτό σου έκπληκτο!»|Μπεν-Χουρ|Λιου Γουάλας|sfw
00:00|0000-003|μεσάνυχτα|Ο Ρεν είπε, «Αν πας στο γήπεδο ποδοσφαίρου τα μεσάνυχτα του Χάλοουιν και πεις το όνομά του τρεις φορές, υποτίθεται ότι θα εμφανιστεί το φάντασμά του».|Κόπερ Ρίβερ|Γουίλιαμ Κεντ Κρούγκερ|sfw
00:00|0000-004|μεσάνυχτα|Εσύ, Γουίλι, φίλε μου, είπε απαλά ο Πάστορας Φριτς, «εσείς που κάθεστε στο σκοτάδι του μεσονυχτίου το μεσημέρι, μήπως αυτός ο Ιησούς Χριστός είναι ένα κέρας σωτηρίας, ένα φως στο σκοτάδι σας;»|Φωτεινή Κοιλάδα της Αγάπης|Έντνα Χονγκ|sfw
00:00|0000-005|μεσάνυχτα|Παίρνεις μια μαύρη γάτα —δεν είναι αυτή;— που δεν έχει ούτε μια άσπρη τρίχα (το ξέρεις αυτό), και δένεις τα τέσσερα πόδια της, και μετά την πηγαίνεις τα μεσάνυχτα σε ένα σταυροδρόμι και φωνάζεις δυνατά:|Το Όνομα του Ρόδου|Ουμπέρτο Έκο|unknown
00:00|0000-006|μεσάνυχτα|Και ήμουν το λιοντάρι που δεν θυμάσαι που έσπρωξε τη βάρκα στην οποία ήσουν ξαπλωμένος, ένα παιδί κοντά στο θάνατο, έτσι ώστε να φτάσει στην ακτή όπου ένας άντρας καθόταν, ξύπνιος τα μεσάνυχτα, για να σε υποδεχτεί.|Το άλογο και το αγόρι του|C.S. Lewis|unknown
00:00|0000-007|μεσάνυχτα|Αν η Τζιλ ήταν πιο συνηθισμένη στις περιπέτειες, ίσως να αμφέβαλλε για τα λόγια της Κουκουβάγιας, αλλά αυτό δεν της πέρασε ποτέ από το μυαλό. Και στη συναρπαστική ιδέα μιας απόδρασης τα μεσάνυχτα ξέχασε την υπνηλία της.|Η Ασημένια Καρέκλα|C.S. Lewis|unknown
00:00|0000-008|μεσάνυχτα|«Και σχεδόν ακριβώς τα μεσάνυχτα, η υπομονή του Κόμη ανταμείφθηκε. Γιατί σύμφωνα με τις οδηγίες που είχε γράψει στον Ρίτσαρντ, όλα τα τηλέφωνα στον πρώτο όροφο του Metropol άρχισαν να χτυπούν.»|Ένας κύριος στη Μόσχα|Amor Towles|unknown
00:00|0000-009|μεσάνυχτα|«Νικεί η Σίμπι, γαμώτο!» είπε ο κύριος Χούμπερτ. «Νικεί η Σίμπι! Τι άλλο στο καλό στήνουμε να μαλώνουμε μέχρι τα μεσάνυχτα;»|Κάτω ο Μωυσής|Γουίλιαμ Φόκνερ|nsfw
00:00|0000-010|Μεσάνυχτα|Μεσάνυχτα, και υπήρχε παγετός στα χωράφια και κομμάτια μαύρου πάγου σε έναν δρόμο διαβόητο για τα ατυχήματά του—υπήρχαν μπουκέτα από ξερά λουλούδια δεμένα σε στύλους φράχτη και τηλεγραφικούς στύλους, και σχισμένα κενά σε φράκτες, σαν κάποιο είδος αποτυχημένης σοδειάς.|Το Σώμα Ψεύδεται|Τζο Μπέικερ|unknown
00:00|0000-011|μεσάνυχτα|Η Πλατεία του Αγίου Σουλπίκιου, τόσο ήσυχη και έρημη, όπου προς τα μεσάνυχτα ερχόταν κάθε βράδυ η γυναίκα με τη σπασμένη ομπρέλα και το τρελό πέπλο. Κάθε βράδυ κοιμόταν εκεί σε ένα παγκάκι κάτω από τη σκισμένη ομπρέλα της, με τα πλευρά να κρέμονται κάτω, το φόρεμά της να πρασινίζει, τα κοκαλιάρικα δάχτυλά της και τη μυρωδιά της σήψης να αναδύεται από το σώμα της· και το πρωί καθόμουν εκεί κι εγώ, κοιμόμουν ήσυχα στον ήλιο, καταριόμουν τα καταραμένα περιστέρια που μάζευαν τα ψίχουλα παντού.|Τροπικός του Καρκίνου|Χένρι Μίλερ|nsfw
